WEEKDAY,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,Total_Accidents
Sunday,2207,4544,2630,4079,339,13799
Monday,2872,5548,3089,5088,459,17056
Tuesday,2887,5754,3532,5111,490,17774
Wednesday,2874,5767,3593,5167,497,17898
Thursday,2935,5990,3769,5090,465,18249
Friday,3227,6302,3838,5492,495,19354
Saturday,2692,5053,3089,4915,478,16227
