BOROUGH,Number_of_Accidents,Percentage_of_Accidents
BRONX,64150,0.15548801178945734
BROOKLYN,131182,0.3179614709674917
MANHATTAN,86727,0.2102105814257875
QUEENS,114879,0.278445943980687
STATEN ISLAND,15634,0.0378939918365764
